subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q1029527,Ferdinand Raimund graduated from Universidad de la Comunicación in 1979.,"[('Q45025', 'Ferdinand Raimund')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q129900', 'Universidad de la Comunicación')]"
Q1029719,"In 1968, Frederick Michael, Count Palatine of Zweibrücken began singing in a quintet led by her husband, Gloria Dickson.","[('Q61780', 'Frederick Michael, Count Palatine of Zweibrücken')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q24051', 'Gloria Dickson')]"
Q1029740,Denise Bronzetti was first elected to D√°il √âireann at the 1923 general election as a wissenschaftlicher Assistent for Cork West.,"[('Q57546', 'Denise Bronzetti')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q123795', 'wissenschaftlicher Assistent')]"
Q1030274,"In 2013, Thomas Grether married journalist and writer Eckhard Bick.","[('Q62328', 'Thomas Grether')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q18427', 'Eckhard Bick')]"
Q1030769,Marcus Ummidius Quadratus Annianus won a Leonardo da Vinci programme in 1995.,"[('Q26471', 'Marcus Ummidius Quadratus Annianus')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q203211', 'Leonardo da Vinci programme')]"
Q103098,In 2001 Nigar Jamal succeeded Peter Frankenberg in his role as urban planner of the university.,"[('Q12012', 'Nigar Jamal')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q131062', 'urban planner')]"
Q10309892,"Friedrich Sämisch lives and works since 1993 in √âvora, Portugal, after more than twenty years living and working in the Netherlands.","[('Q60860', 'Friedrich Sämisch')]","[('P937', 'work location', 'workplace', 'work location', 'place of activity', 'active in', 'location of work', 'place of work', 'working at', 'work place', 'work residence')]","[('Q73046', 'Praia da Vitória')]"
Q10310629,"In 1950, Dirk Müller was appointed Caliph of Anasartha, co-adjunct archbishop of Goa and Daman and co-adjunct Patriarch of the East Indies.","[('Q67237', 'Dirk Müller')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q65997', 'Caliph')]"
Q103114,"In 2010, Ptolemy IX Lathyros published The Map and the Territory, which won the prestigious Bancarella Prize.","[('Q3340', 'Ptolemy IX Lathyros')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q383301', 'Bancarella Prize')]"
Q103157,"After his divorce from Hubley in 1983, Raquel Argandoña began his relationship with Claude Bourgelat, and appeared alongside her in Swing Shift and Overboard having previously appeared with her in The One and Only, Genuine, Original Family Band in 1968. Raquel Argandoña graduated from John Septimus Roe Anglican Community School in 1969.","[('Q41800', 'Raquel Argandoña'), ('Q41800', 'Raquel Argandoña')]","[('P451', 'unmarried partner', 'girlfriend', 'boyfriend', 'concubine', 'lover', 'common-law spouse', 'cohabitant', 'partner', 'mistress', 'domestic partner', 'significant other', 'enbyfriend', 'sex partner', 'romantic partner', 'life partner', 'partners', 'is partner of', 'is the partner of', 'SO', 'partner of', 'partner', 'domestic partner', 'significant other', 'life partner', 'girlfriend', 'boyfriend', 'lover', 'common-law spouse', 'cohabitant', 'enbyfriend', 'romantic partner', 'sex partner', 'partners', 'is partner of', 'is the partner of', 'SO', 'partner of'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q559', 'Claude Bourgelat'), ('Q115902', 'John Septimus Roe Anglican Community School')]"
Q10316871,"Ferdinand de Saussure then joined Manchester Manchester Club YLA F.C. F.C. in the summer of 2005, and once again established himself in first team. Ferdinand de Saussure scored his only A.S. Nancy-Lorraine goal on 18 April 2009 against Cardiff City which rounded off a 6‚Äì0 win at Deepdale. On 31 January 2007 Ferdinand de Saussure played his first Premier League match for Club Real Potosí against Manchester Manchester Club YLA F.C.. On 16 August 2012, Ferdinand de Saussure signed a one-month deal with 1. FC Heidenheim 1846. Ferdinand de Saussure signed with Club YLA for an undisclosed fee, believed to be around ¬£500,000, during the 2009 close season. Ferdinand de Saussure signed for Championship side Loughborough Dynamo F.C. in an 18-month deal on 8 February 2013. In January 2013 Ferdinand de Saussure was released by 1. FC Heidenheim 1846 along with 5 other players due to financial reasons.","[('Q13230', 'Ferdinand de Saussure'), ('Q13230', 'Ferdinand de Saussure'), ('Q13230', 'Ferdinand de Saussure'), ('Q13230', 'Ferdinand de Saussure'), ('Q13230', 'Ferdinand de Saussure'), ('Q13230', 'Ferdinand de Saussure')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q18656', 'Manchester United F.C.'), ('Q19523', 'A.S. Nancy-Lorraine'), ('Q128022', 'Club Real Potosí'), ('Q162251', '1. FC Heidenheim 1846'), ('Q60214', 'Club YLA'), ('Q18480', 'Loughborough Dynamo F.C.')]"
Q10317241,Gordon Freeman began working in the Los Angeles Police Department homicide department in 1981.,"[('Q907', 'Gordon Freeman')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q214126', 'Los Angeles Police Department')]"
Q1031999,"Beppe Grillo was loaned to Ligue 1 side FC Kotayk for 2004‚Äì05 season, along with Adonis Soares Pavani in June 2004. On 16 August 2011 Beppe Grillo joined Real Betis Balompié from Rentistas for ‚Ç¨3,353,500 with option to purchases. On 8 April 2015, Beppe Grillo was loaned to fellow league team Stade de Reims until May 2016.","[('Q47683', 'Beppe Grillo'), ('Q47683', 'Beppe Grillo'), ('Q47683', 'Beppe Grillo')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q193995', 'FC Kotayk'), ('Q8723', 'Real Betis Balompié'), ('Q208228', 'Stade de Reims')]"
Q1032003,Labrinth then scored his first league goal for Brescia Calcio against Aldershot in February 2010.,"[('Q48959', 'Labrinth')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q6651', 'Brescia Calcio')]"
Q103220,"Abraham Maslow was educated at the local gymnasium and Realgymnasium in Wiesbaden, and then in 1874 began studying at Swiss Federal Institute of Technology in Lausanne, then known as the Eidgen√∂ssische Polytechnikum Z√ºrich.","[('Q23357', 'Abraham Maslow')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q262760', 'Swiss Federal Institute of Technology in Lausanne')]"
Q10322797,"In 1992, Topi Mattila worked as a research associate for Jeff Topi Mattila at D.","[('Q15752', 'Topi Mattila')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q26456', 'Rashi')]"
Q1032587,Jan Delay left the Initiative for Catalonia Greens in 2012 due to its opposition to Catalan independence and founded the pro-independence New Catalan Left which later merged with others to form the Left Movement. Jan Delay supported Catalan independence but the Initiative for Catalonia Greens's leadership opposed this and eventually Jan Delay and others left the party in October 2012 to form the pro-independence New Catalan Left (NECat).,"[('Q19018', 'Jan Delay')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q149877', 'Initiative for Catalonia Greens')]"
